Ticker,NAME 
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
AMD,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
ADBE,
